Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,SMA_50,EMA_50,RSI,Stoch_K,Stoch_D,ADX,MACD,MACD_Signal,BB_upper,BB_middle,BB_lower,ATR,MFI,OBV,VWAP
2025-07-16 00:00:00+00:00,117780.359375,117780.359375,117780.359375,117780.359375,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,0,
2025-07-16 00:02:00+00:00,117681.5078125,117681.5078125,117681.5078125,117681.5078125,963461120,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-963461120,
2025-07-16 00:04:00+00:00,117596.8125,117596.8125,117596.8125,117596.8125,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-963461120,
2025-07-16 00:05:00+00:00,117591.625,117591.625,117591.625,117591.625,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-963461120,
2025-07-16 00:06:00+00:00,117604.9296875,117604.9296875,117604.9296875,117604.9296875,49528832,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-913932288,
2025-07-16 00:07:00+00:00,117563.609375,117563.609375,117563.609375,117563.609375,94298112,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-1008230400,
2025-07-16 00:08:00+00:00,117563.7421875,117563.7421875,117563.7421875,117563.7421875,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-1008230400,
2025-07-16 00:09:00+00:00,117569.6328125,117569.6328125,117569.6328125,117569.6328125,111566848,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-896663552,
2025-07-16 00:11:00+00:00,117515.71875,117515.71875,117515.71875,117515.71875,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-896663552,
2025-07-16 00:13:00+00:00,117517.796875,117517.796875,117517.796875,117517.796875,11386880,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-885276672,
2025-07-16 00:14:00+00:00,117495.3359375,117495.3359375,117495.3359375,117495.3359375,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-885276672,
2025-07-16 00:16:00+00:00,117477.34375,117477.34375,117477.34375,117477.34375,0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-885276672,
2025-07-16 00:17:00+00:00,117469.7265625,117469.7265625,117469.7265625,117469.7265625,1097064448,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-1982341120,
2025-07-16 00:18:00+00:00,117557.796875,117557.796875,117557.796875,117557.796875,84721664,0.0,0.0,,,,,35.62947734224545,28.351902618143406,,0.0,,,,,,31.536830357142858,10.663540232179656,-1897619456,117568.70862007407
2025-07-16 00:19:00+00:00,117585.671875,117585.671875,117585.671875,117585.671875,1974272,0.0,0.0,,,,,41.83234457238479,54.74767596281541,,0.0,,,,,,31.27527104591837,10.736613860699265,-1895645184,117568.72249333383
2025-07-16 00:20:00+00:00,117575.25,117575.25,117575.25,117575.25,0,0.0,0.0,,,,,40.269910221392045,78.04807581185716,53.71588479760533,0.0,,,,,,29.7857427569242,17.87935220184275,-1895645184,117493.80957068753
2025-07-16 00:22:00+00:00,117565.046875,117565.046875,117565.046875,117565.046875,0,0.0,0.0,,,,,38.74421269061345,70.50156015254825,67.76577064240693,0.0,,,,,,28.386984345715327,17.87935220184275,-1895645184,117493.80957068753
2025-07-16 00:23:00+00:00,117582.609375,117582.609375,117582.609375,117582.609375,43909120,0.0,0.0,,,,,42.76392904427878,83.49127470241535,77.34697022227358,0.0,,,,,,27.613806892449947,20.293946239501864,-1851736064,117496.41863810654
2025-07-16 00:24:00+00:00,117643.078125,117643.078125,117643.078125,117643.078125,0,0.0,0.0,,,,,53.96512900436972,100.0,84.66427828498787,0.0,,,,,,29.960588542989235,17.5591823692982,-1851736064,117492.69911001052
2025-07-16 00:25:00+00:00,117637.265625,117637.265625,117637.265625,117637.265625,382746624,0.0,0.0,117578.74296875,117603.26764222518,,,52.893574388694226,96.64698724593266,93.37942064944934,0.0,,,117718.74298033796,117578.74296875,117438.74295716203,28.235725075632864,14.633679304622405,-2234482688,117520.76331181797
2025-07-16 00:26:00+00:00,117622.8671875,117622.8671875,117622.8671875,117622.8671875,0,0.0,0.0,117570.868359375,117605.13426558468,,,50.23269811791746,88.34106989949976,94.99601904847748,0.0,,,117678.62512081307,117570.868359375,117463.11159793694,27.247347391659087,14.633679304622405,-2234482688,117520.76331181797
2025-07-16 00:28:00+00:00,117616.8203125,117616.8203125,117616.8203125,117616.8203125,253952,0.0,0.0,117567.633984375,117606.24722243377,,,49.1152221658557,84.85285501825228,89.94697072122824,0.0,,,117665.32622352785,117567.633984375,117469.94174522215,25.73302793511201,8.75718870254515,-2234736640,117517.41705307315
