Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,SMA_50,EMA_50,RSI,Stoch_K,Stoch_D,ADX,MACD,MACD_Signal,BB_upper,BB_middle,BB_lower,ATR,MFI,OBV,VWAP
2025-04-16 00:00:00+00:00,83674.5078125,85428.28125,83100.6171875,84033.8671875,29617804112,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,29617804112,
2025-04-17 00:00:00+00:00,84030.671875,85449.0703125,83749.75,84895.75,21276866029,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,50894670141,
2025-04-18 00:00:00+00:00,84900.1875,85095.046875,84298.8828125,84450.8046875,12728372364,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,38166297777,
2025-04-19 00:00:00+00:00,84450.8671875,85597.703125,84353.4609375,85063.4140625,15259300427,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,53425598204,
2025-04-20 00:00:00+00:00,85066.0703125,85306.3828125,83976.84375,85174.3046875,14664050812,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,68089649016,
2025-04-21 00:00:00+00:00,85171.5390625,88460.09375,85143.8359375,87518.90625,41396190190,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,109485839206,
2025-04-22 00:00:00+00:00,87521.875,93817.3828125,87084.53125,93441.890625,55899038456,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,165384877662,
2025-04-23 00:00:00+00:00,93427.5859375,94535.734375,91962.9609375,93699.109375,41719568821,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,207104446483,
2025-04-24 00:00:00+00:00,93692.3984375,94016.1953125,91696.7109375,93943.796875,31483175315,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,238587621798,
2025-04-25 00:00:00+00:00,93954.25,95768.390625,92898.59375,94720.5,40915232364,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,279502854162,
2025-04-26 00:00:00+00:00,94714.6484375,95251.359375,93927.25,94646.9296875,17612825123,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,261890029039,
2025-04-27 00:00:00+00:00,94660.90625,95301.203125,93665.3984375,93754.84375,18090367764,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,243799661275,
2025-04-28 00:00:00+00:00,93755.3046875,95598.4921875,92860.8046875,94978.75,32363449569,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,276163110844,
2025-04-29 00:00:00+00:00,94981.859375,95485.4140625,93796.6328125,94284.7890625,25806129921,0.0,0.0,,,,,81.49943817102547,88.2883794076381,,0.0,,,,,,2328.1768973214284,79.34546801924193,250356980923,90747.28624673534
2025-04-30 00:00:00+00:00,94286.46875,95249.3203125,92979.640625,94207.3125,28344679831,0.0,0.0,,,,,80.77409686158812,87.01119224953945,,0.0,,,,,,2323.9985251913263,73.52345498040675,222012301092,91478.25398069083
2025-05-01 00:00:00+00:00,94212.859375,97437.9609375,94153.6328125,96492.3359375,32875889623,0.0,0.0,,,,,85.01112869277637,92.97513730228789,89.42490298648848,0.0,,,,,,2392.5934966062314,74.47441237193166,254888190715,92196.39830114454
2025-05-02 00:00:00+00:00,96494.96875,97905.8984375,96375.9453125,96910.0703125,26421924677,0.0,0.0,,,,,85.63442180267525,92.85071279177573,90.94568078120102,0.0,,,,,,2330.976327205786,78.18956400816535,281310115392,92728.76123299783
2025-05-03 00:00:00+00:00,96904.6328125,96943.8828125,95821.2890625,95891.796875,15775154889,0.0,0.0,,,,,77.20640120248265,85.54028534106149,90.45537847837504,0.0,,,,,,2244.6632859768015,74.46226460015822,265534960503,93137.20108562119
2025-05-04 00:00:00+00:00,95877.1875,96318.921875,94173.4296875,94315.9765625,18198688416,0.0,0.0,,,,,66.32722503746912,71.87036284299657,83.42045365861127,0.0,,,,,,2237.579636085601,73.55950637629876,247336272087,93499.61115614799
