Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_20,EMA_20,SMA_50,EMA_50,RSI,Stoch_K,Stoch_D,ADX,MACD,MACD_Signal,BB_upper,BB_middle,BB_lower,ATR,MFI,OBV
2025-04-16 00:00:00-04:00,448.5262669187285,452.1122359187138,437.26892082991657,443.68170166015625,48980600,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,48980600
2025-04-17 00:00:00-04:00,446.66836997479874,447.24770590758044,440.8648596937792,443.601806640625,44763900,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,4216700
2025-04-21 00:00:00-04:00,437.7383968906385,438.58741895908844,427.4499333208907,432.6241149902344,44149300,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,-39932600
2025-04-22 00:00:00-04:00,438.3277301223643,447.07788224767165,437.1290641134134,443.98138427734375,52304400,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,12371800
2025-04-23 00:00:00-04:00,457.6560147962199,462.8601614155392,452.37194085433424,454.050048828125,55801100,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,68172900
2025-04-24 00:00:00-04:00,455.9679133908896,467.13536390222004,455.3186182003011,466.8257141113281,45956100,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,114129000
2025-04-25 00:00:00-04:00,466.44615126499775,472.5592809322363,464.86793713184755,472.0298767089844,38697100,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,152826100
2025-04-28 00:00:00-04:00,472.4993349824879,474.2773368886203,465.5071878598683,471.8800354003906,33550800,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,119275300
2025-04-29 00:00:00-04:00,469.64257896789854,475.88556774795717,469.06321253843663,474.9965515136719,30613100,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,149888400
2025-04-30 00:00:00-04:00,466.60597453010126,476.6646852357454,461.9112348361367,474.9366149902344,46810600,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,103077800
2025-05-01 00:00:00-04:00,482.867718713226,486.633478587484,480.2007004822898,481.1396484375,43316500,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,146394300
2025-05-02 00:00:00-04:00,485.9942070850785,490.3592999338552,484.28610341815795,488.2816162109375,39218100,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,185612400
2025-05-05 00:00:00-04:00,484.05636263704406,488.48138557171023,483.55692355683317,485.3848571777344,28309500,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,157302900
2025-05-06 00:00:00-04:00,479.02200340696925,484.5058346984516,477.65354521814226,480.86993408203125,32786300,0.0,0.0,0.0,,,,,73.54437966699473,84.91581403099302,,0.0,,,,,,11.100391542743182,63.62376772657716,124516600
2025-05-07 00:00:00-04:00,481.53917990031067,485.2550079515484,476.2451377363652,482.7578125,38006300,0.0,0.0,0.0,,,,,74.65830556352248,87.91676368223254,,0.0,,,,,,10.95106859077461,66.11417036436069,162522900
2025-05-08 00:00:00-04:00,487.98196955031557,492.1473050887712,483.62687519708794,487.74224853515625,39577600,0.0,0.0,0.0,,,,,77.3678197726432,93.19128979548151,88.67462250290237,0.0,,,,,,10.839527447774367,73.49345312822284,202100500
2025-05-09 00:00:00-04:00,489.66005422779676,490.9885792511315,485.65457353528234,487.4225769042969,27767400,0.0,0.0,0.0,,,,,76.8006754675807,91.41243322084674,90.84016223285359,0.0,,,,,,10.446275895493997,80.24779914754289,174333100
2025-05-12 00:00:00-04:00,506.42125284498536,507.3202676187285,500.91745464838624,507.2803039550781,45090600,0.0,0.0,0.0,,,,,84.43407830380163,99.92727046299018,94.84366449310615,0.0,,,,,,11.121376953989543,80.21915345927933,219423700
2025-05-13 00:00:00-04:00,508.5888474751779,516.8096263504613,507.8496873334999,515.0116577148438,53269600,0.0,0.0,0.0,,,,,86.32120620749875,97.07604625504449,96.13858331296046,0.0,,,,,,11.007658771231943,80.36000720375743,272693300
2025-05-14 00:00:00-04:00,516.1903139685533,518.6475153554106,515.1714386813073,518.09814453125,47014500,0.0,0.0,0.0,475.6298324584961,481.5019782268421,,,86.99885053922864,99.03171159770685,98.67834277191383,0.0,,,521.4000537384984,475.6298324584961,429.8596111784938,10.48110154761301,80.58466865635397,319707800
2025-05-15 00:00:00-04:00,515.9405626229042,521.3444666003286,514.5920405375825,518.66748046875,50153300,0.0,0.0,0.0,479.3791213989258,485.04154986892854,,,87.12554907003873,95.49580924321963,97.20118903199032,0.0,,,526.336503169361,479.3791213989258,432.4217396284906,10.214767584408227,81.13906576045935,369861100
